"species","population_id","site","year","sos","eos","los","ndvi_max","gpp_total","mean_temperature","total_precipitation","parameter_id","longitude","latitude","elevation"
"Quercus_ilex","POP_001","SITE_0002",2018,81,285,204,0.876424492186496,525.468515610057,12.1897582440983,619.360074369765,"PAR_0000001",-6.77709828596562,37.8949858248234,1918
"Quercus_ilex","POP_001","SITE_0012",2019,91,289,198,0.864651080255611,392.624854017554,5.97705734250066,870.996495094993,"PAR_0000002",-4.90618368145078,51.2039337400347,1362
"Quercus_ilex","POP_001","SITE_0007",2020,87,281,194,0.820743864332559,420.607164440988,8.8236297743854,672.24110043589,"PAR_0000003",-2.23859593272209,49.1792192030698,38
"Quercus_ilex","POP_001","SITE_0001",2021,87,295,208,0.825051055074773,486.428414223769,8.25507632558772,699.296347996189,"PAR_0000004",-3.80308096762747,39.5068730739877,1325
"Quercus_ilex","POP_001","SITE_0009",2022,93,279,186,0.903739491773927,489.636817423944,10.8831911194566,711.436860011768,"PAR_0000005",-0.766416369006038,46.6802561189979,1825
"Quercus_ilex","POP_001","SITE_0004",2023,87,278,191,0.778319466933831,535.311247197386,11.720394864556,780.755465134611,"PAR_0000006",1.32339509436861,48.0054684868082,852
"Quercus_ilex","POP_002","SITE_0015",2018,92,306,214,0.740496731762281,428.868937121017,9.81941948568418,1080.9345121379,"PAR_0000007",15.1009145076387,35.1973216515034,697
"Quercus_ilex","POP_002","SITE_0002",2019,89,278,189,0.921064507340412,533.805850547799,11.7279302791968,436.744217686669,"PAR_0000008",2.74653490865603,39.905596296303,1407
"Quercus_ilex","POP_002","SITE_0005",2020,87,288,201,0.894694165211545,511.79457341441,15.0446472317637,798.04028661109,"PAR_0000009",17.3664238629863,41.4694115193561,2089
"Quercus_ilex","POP_002","SITE_0003",2021,74,271,197,0.791037473634862,510.365794104532,10.2513534898446,510.212581776604,"PAR_0000010",7.61168461060151,54.8058652551845,112
"Quercus_ilex","POP_002","SITE_0012",2022,103,283,180,0.843843422931677,523.697835945934,13.4908025401835,692.328833637576,"PAR_0000011",7.90013737976551,50.6641873018816,2180
"Quercus_ilex","POP_002","SITE_0008",2023,110,290,180,0.836760452551638,457.48761868573,8.57711988875355,704.326206651963,"PAR_0000012",16.2228832999244,52.5917751342058,1361
"Quercus_ilex","POP_003","SITE_0011",2018,85,278,193,0.823440794831413,421.621066912307,14.5201446839935,490.470764443512,"PAR_0000013",11.4950564759783,54.2305074818432,1427
"Quercus_ilex","POP_003","SITE_0013",2019,91,284,193,0.835004546011391,510.203475442161,11.4624077731461,960.274991992445,"PAR_0000014",-5.38672961760312,44.7272601304576,2076
"Quercus_ilex","POP_003","SITE_0007",2020,87,288,201,0.805896038447121,510.376432823243,8.79279936779272,643.364788703697,"PAR_0000015",-1.736467811279,38.0732124345377,1991
"Quercus_ilex","POP_003","SITE_0011",2021,85,286,201,0.936947104567012,455.745131702218,10.2740382759051,441.203041203931,"PAR_0000016",0.0351092615164816,53.2005469547585,1382
"Quercus_ilex","POP_003","SITE_0011",2022,103,297,194,0.863063845258478,476.246763989548,11.5108470135483,585.758356342511,"PAR_0000017",19.0384110528976,50.5517034651712,1600
"Quercus_ilex","POP_003","SITE_0003",2023,92,292,200,0.862730178897877,522.373793300568,9.27939266368534,599.490999148771,"PAR_0000018",-3.4891303582117,48.2436452433467,358
"Quercus_ilex","POP_004","SITE_0001",2018,77,275,198,0.875306838621414,418.654717122977,12.2232769159113,887.907912957922,"PAR_0000019",2.87134013371542,48.8606402091682,600
"Quercus_ilex","POP_004","SITE_0002",2019,87,286,199,0.811112875184422,469.432196652619,11.7611164575494,764.704191175942,"PAR_0000020",8.49500294076279,54.7529181884602,214
"Quercus_ilex","POP_004","SITE_0012",2020,109,291,182,0.960243748163953,561.202696205491,12.7423236131478,716.264629278357,"PAR_0000021",-9.95992789510638,50.0935752922669,1706
"Quercus_ilex","POP_004","SITE_0005",2021,103,284,181,0.846324179457653,456.470286024365,11.2319040455677,902.067764568982,"PAR_0000022",13.9054897264577,39.3247543927282,344
"Quercus_ilex","POP_004","SITE_0012",2022,90,280,190,0.866029086452554,502.622585809972,11.9128435936627,816.693078413922,"PAR_0000023",-6.28415976185352,50.7576190726832,1479
"Quercus_ilex","POP_004","SITE_0015",2023,106,296,190,0.804488832330908,468.553631934356,13.4582753852692,725.858536172089,"PAR_0000024",-1.28140969900414,50.3823305107653,1288
"Quercus_ilex","POP_005","SITE_0009",2018,71,279,208,0.902942146812405,565.735665940239,11.7712169473202,957.163737772062,"PAR_0000025",11.2116243201308,35.9198050107807,2378
"Quercus_ilex","POP_005","SITE_0009",2019,81,256,175,0.880420416545312,520.826608732991,9.6407424502776,498.687166073938,"PAR_0000026",15.8894747379236,43.0907516181469,2215
"Quercus_ilex","POP_005","SITE_0004",2020,79,285,206,0.854555936792183,474.812925626011,10.6816991998075,488.677586291212,"PAR_0000027",8.31095269182697,36.0385117912665,2060
"Quercus_ilex","POP_005","SITE_0003",2021,96,279,183,0.811049960321026,502.393934774522,13.315575473242,637.443510191539,"PAR_0000028",6.42585362307727,47.5130913965404,642
"Quercus_ilex","POP_005","SITE_0001",2022,96,258,162,0.90384100844113,501.122953786654,11.1653029051414,608.151651567683,"PAR_0000029",15.7378588640131,35.058485600166,2275
"Quercus_ilex","POP_005","SITE_0011",2023,99,284,185,0.885773712553855,396.67556322249,8.26038515396083,1139.58019305053,"PAR_0000030",16.3494029385038,50.1333610154688,1607
"Quercus_ilex","POP_006","SITE_0014",2018,85,280,195,0.902128025594793,446.45307244904,15.3143415564895,675.512420927411,"PAR_0000031",-1.70213306322694,35.2487548114732,2240
"Quercus_ilex","POP_006","SITE_0015",2019,92,261,169,0.831768699010584,522.91568510389,6.96995434372126,905.545267277551,"PAR_0000032",16.9907528092153,54.769040979445,1475
"Quercus_ilex","POP_006","SITE_0013",2020,84,280,196,0.899686352570923,404.024400444549,9.03386240746013,716.045491835519,"PAR_0000033",-5.40736694587395,52.0884667523205,1732
"Quercus_ilex","POP_006","SITE_0013",2021,82,296,214,0.829552913042584,440.466263767537,11.458274729398,822.289893724197,"PAR_0000034",-1.61054476862773,44.7633541468531,115
"Quercus_ilex","POP_006","SITE_0004",2022,87,289,202,0.810792996697329,413.848789236504,12.0973780779563,473.722110982878,"PAR_0000035",14.3077483936213,46.9742148043588,899
"Quercus_ilex","POP_006","SITE_0007",2023,89,302,213,0.828763723624516,455.30964187671,9.07420687191759,1048.81459498016,"PAR_0000036",9.11487528821453,40.3236471489072,1629
"Quercus_ilex","POP_007","SITE_0005",2018,90,288,198,0.854312966753445,369.28444786641,9.88443439685573,723.94790613883,"PAR_0000037",-1.47679276298732,46.9492897111923,886
"Quercus_ilex","POP_007","SITE_0015",2019,87,288,201,0.89468567510822,470.948186100793,7.29772975083669,672.538226969267,"PAR_0000038",-2.73239898029715,42.451399769634,243
"Quercus_ilex","POP_007","SITE_0015",2020,82,274,192,0.856674406663685,472.999416415402,10.0579583247791,634.907449578699,"PAR_0000039",1.39068842167035,35.579112265259,382
"Quercus_ilex","POP_007","SITE_0007",2021,92,291,199,0.886628372717847,399.345237421761,11.2210396435553,442.394061846092,"PAR_0000040",-6.46964817075059,48.1647933088243,2383
"Quercus_ilex","POP_007","SITE_0001",2022,101,287,186,0.83567996975932,472.881603359146,12.2003174359623,870.796926179119,"PAR_0000041",6.67932922020555,49.0926791867241,2197
"Quercus_ilex","POP_007","SITE_0005",2023,103,276,173,0.899584111177865,479.259416304808,8.76857019938284,934.314149109545,"PAR_0000042",-7.51268257619813,44.3943751044571,780
"Quercus_ilex","POP_008","SITE_0007",2018,84,286,202,0.853343474188421,482.436934656772,9.83451883191364,694.152180778175,"PAR_0000043",8.98561904206872,37.8142258990556,630
"Quercus_ilex","POP_008","SITE_0002",2019,69,289,220,0.89814386593678,512.312999970942,11.2708208445046,780.657594857436,"PAR_0000044",7.20916872378439,39.4601339008659,1328
"Quercus_ilex","POP_008","SITE_0012",2020,98,283,185,0.731743616930635,403.755525579922,8.93391874271336,630.046906047514,"PAR_0000045",3.64197509828955,54.7774191666394,2233
"Quercus_ilex","POP_008","SITE_0003",2021,89,283,194,0.846958815686505,439.359509057729,8.61098482235697,787.833977382718,"PAR_0000046",-2.36043692566454,39.4356704037637,495
"Quercus_ilex","POP_008","SITE_0012",2022,78,307,229,0.898778638383732,501.511956730054,9.55982819723388,469.490165662767,"PAR_0000047",-3.83176759118214,47.0397450122982,138
"Quercus_ilex","POP_008","SITE_0009",2023,99,289,190,0.853302425397548,446.494548139691,11.2351778260027,654.238546989252,"PAR_0000048",-2.65036834636703,44.4082729239017,1202
"Quercus_ilex","POP_009","SITE_0012",2018,68,298,230,0.845930431452858,513.634926615799,8.87105815143995,573.282865949894,"PAR_0000049",-5.63970047049224,42.7239795867354,548
"Quercus_ilex","POP_009","SITE_0014",2019,86,282,196,0.801902089601336,518.464785525443,12.0991711108154,897.71200548902,"PAR_0000050",4.59194995462894,49.8856991715729,403
"Quercus_ilex","POP_009","SITE_0012",2020,95,289,194,0.866625849170917,484.777641776344,14.0556802435573,677.887320883843,"PAR_0000051",-9.93842345895246,41.8585901847109,1916
"Quercus_ilex","POP_009","SITE_0008",2021,99,274,175,0.891363337907323,478.717011667613,11.562350326078,769.314658975767,"PAR_0000052",-6.87023397069424,35.9883795538917,1100
"Quercus_ilex","POP_009","SITE_0001",2022,90,284,194,0.886026007034525,489.254630694243,6.60172271668625,929.204294518609,"PAR_0000053",4.1458523273468,44.9713861895725,2456
"Quercus_ilex","POP_009","SITE_0005",2023,93,284,191,0.861218136018696,555.928679361466,6.76447794256584,867.436278719222,"PAR_0000054",8.99576534284279,52.4906886182725,1323
"Quercus_ilex","POP_010","SITE_0009",2018,70,270,200,0.802318464750969,432.073619059516,9.65873692382342,871.275340190187,"PAR_0000055",6.38597430195659,46.7974799359217,2134
