"tree_species","insect_population","fungus_strain","temperature","humidity","insect_size","insect_resistance","fungus_growth","fungus_virulence"
"Tree_C","Insect_A","Fungi_4",4.83356103591098,42.9337571946428,9.34907482134035,0.798208475237929,10.3332226143778,0.288488361100552
"Tree_B","Insect_E","Fungi_4",12.5203540100173,35.9114048152977,13.6342306641669,0.665061174092684,3.60347562502274,0.412696162886303
"Tree_A","Insect_C","Fungi_1",1.56177533465252,30,14.974024173521,0.522267481763806,1.03066274104992,0.637826423892639
"Tree_C","Insect_C","Fungi_4",8.24139798056936,70.8288666787869,14.1518509857107,0.689166302944,23.537315066681,0.662214738576418
"Tree_A","Insect_D","Fungi_3",-0.826864234399347,92.0339389216777,6.09443582005885,0.78618213581984,17.3879037105326,0.617461217331679
"Tree_C","Insect_C","Fungi_4",17.2928796104194,30,20.8200271974095,0.361904927194673,4.12965258214907,0.769845499536983
"Tree_B","Insect_C","Fungi_3",14.5718770787658,71.1531446853497,19.0570389918232,0.429741245919039,15.5150045798797,0.877426838828645
"Tree_D","Insect_C","Fungi_4",14.0176552998376,61.915539523452,16.5234459270819,0.449643365606473,21.4219576453546,0.530992384752677
"Tree_B","Insect_A","Fungi_1",-10.1104656340743,80.0116420888948,8.03215475570089,0.587088739604573,19.1453476699937,0.382063545434922
"Tree_B","Insect_E","Fungi_2",14.0806815626173,70.6781154207349,12.8254937090417,0.643306687110182,20.2617153457451,0.439402512776827
"Tree_B","Insect_C","Fungi_4",15.9431932731852,95,18.2073455648413,0.487452745685232,38.7916153022824,0.547174849224246
"Tree_E","Insect_E","Fungi_4",15.1653089205238,83.1093204919341,13.8132124596173,0.648808263395422,28.7800344326388,0.297423778044302
"Tree_B","Insect_D","Fungi_1",16.2934293075768,30,11.042044923043,0.904282432245298,0.101608365233158,1
"Tree_D","Insect_E","Fungi_2",18.3845450738815,95,13.9847163513965,0.495212701804435,31.9237702712712,0.683951383896233
"Tree_A","Insect_C","Fungi_2",12.7125325102881,93.8186661584712,17.4276655445285,0.531397651811287,30.6103471462476,0.503346084265919
"Tree_E","Insect_D","Fungi_3",22.6005227187843,31.708121552479,10.5528132845129,0.770142600541525,1.7904199054752,1
"Tree_D","Insect_B","Fungi_1",-0.100221879864151,42.8434744770381,7.24623130246272,0.791999713498544,5.88019413075976,0.66625159316121
"Tree_C","Insect_A","Fungi_1",-4.64845264336314,69.9847344109881,9.99913398591066,0.625920631122061,17.9698735448201,0.469934713489959
"Tree_A","Insect_B","Fungi_3",7.42523391838118,68.31900235204,8.01879730185635,0.988290956625125,8.97581105855168,0.863805203359631
"Tree_D","Insect_B","Fungi_3",18.5468098052361,73.532235183602,14.3945761353669,0.635056406254435,13.5298658375299,0.93626115002697
"Tree_C","Insect_A","Fungi_2",-3.83090184920412,67.1093599967333,7.07308605555855,0.71551781262301,22.0216266696738,0.364771937037394
"Tree_A","Insect_D","Fungi_1",23.9780227292775,82.5869803252991,11.3150636466823,0.686224220122125,16.6228894336322,0.815603355502924
