"observation_id","population_id","species","site","year","date","doy","month","season","latitude","longitude","elevation","soil_type","soil_pH","slope","ndvi","evi","temperature","gpp","lai","precipitation","gdd","vegetation_health","sos_adj","eos_adj","budburst","flowering","senescence","quality_flag"
"OBS_000001","POP_18","Quercus_ilex","SITE_0001",2018,2018-01-01,1,1,"winter",51.8446343904361,15.1082762144506,1037,"Sandy",5.84616949106567,6.5687291440554,0.192521544604244,0.118296191041997,8.25516771792526,3.89333009819067,1.52515502379844,1.71437338150572,3.25516771792526,20.5430831167056,0,0,0,0,0,"excellent"
"OBS_000002","POP_18","Quercus_ilex","SITE_0001",2018,2018-01-09,9.87804878048781,1,"winter",51.8446343904361,15.1082762144506,1037,"Sandy",5.84616949106567,6.5687291440554,0.26195564306829,0.199278135388549,9.05449963585408,4.84682761647058,1.20725825268748,2.30241019461548,7.30966735377934,31.8641591483892,0,0,0,0,0,"excellent"
"OBS_000003","POP_18","Quercus_ilex","SITE_0001",2018,2018-01-18,18.7560975609756,1,"winter",51.8446343904361,15.1082762144506,1037,"Sandy",5.84616949106567,6.5687291440554,0.256879816615078,0.223525583688747,8.97656222603452,3.43726546898304,2.53343391246143,3.52342787957009,11.2862295798139,31.7291224368928,0,0,0,0,0,"excellent"
"OBS_000004","POP_18","Quercus_ilex","SITE_0001",2018,2018-01-27,27.6341463414634,1,"winter",51.8446343904361,15.1082762144506,1037,"Sandy",5.84616949106567,6.5687291440554,0.163649481971457,0.133736157918499,8.35420562766602,3.42552582396991,0.361396709923916,3.07173921428115,14.6404352074799,12.0982240810271,0,0,0,0,0,"excellent"
"OBS_000005","POP_18","Quercus_ilex","SITE_0001",2018,2018-02-05,36.5121951219512,2,"winter",51.8446343904361,15.1082762144506,1037,"Sandy",5.84616949106567,6.5687291440554,0.28879330060297,0.247521784169706,5.30312530332876,1.38278551211917,0.369816789647258,5.76193527740047,14.9435605108086,26.4032843594703,0,0,0,0,0,"fair"
"OBS_000006","POP_18","Quercus_ilex","SITE_0001",2018,2018-02-14,45.390243902439,2,"winter",51.8446343904361,15.1082762144506,1037,"Sandy",5.84616949106567,6.5687291440554,0.301495657545227,0.25951211397976,4.24190828584268,8.60929160435049,2.24285768345507,13.2926512958348,14.9435605108086,27.36536983538,0,0,0,0,0,"excellent"
"OBS_000007","POP_18","Quercus_ilex","SITE_0001",2018,2018-02-23,54.2682926829268,2,"winter",51.8446343904361,15.1082762144506,1037,"Sandy",5.84616949106567,6.5687291440554,0.173091962001888,0.169206911002645,0.569124132094701,7.48045538172913,1.00247735898289,10.5580769117004,14.9435605108086,24.4660615925386,0,0,0,0,0,"fair"
"OBS_000008","POP_18","Quercus_ilex","SITE_0001",2018,2018-03-04,63.1463414634146,3,"winter",51.8446343904361,15.1082762144506,1037,"Sandy",5.84616949106567,6.5687291440554,0.238640836185742,0.145755765380796,5.48738360061268,1.74146966709294,0.219482860096105,5.99401785893026,15.4309441114213,17.1705750182527,0,0,0,0,0,"excellent"
"OBS_000009","POP_18","Quercus_ilex","SITE_0001",2018,2018-03-13,72.0243902439024,3,"winter",51.8446343904361,15.1082762144506,1037,"Sandy",5.84616949106567,6.5687291440554,0.173844708473999,0.178041811510294,8.97072957202814,1.29758687996897,1.01156042655093,16.1401258553233,19.4016736834494,21.6884452697813,0,0,0,0,0,"excellent"
"OBS_000010","POP_18","Quercus_ilex","SITE_0001",2018,2018-03-21,80.9024390243902,3,"winter",51.8446343904361,15.1082762144506,1037,"Sandy",5.84616949106567,6.5687291440554,0.265896764390254,0.251402618129995,1.7627252772548,8.52234679742821,1.65523776701104,9.06340977801301,19.4016736834494,27.616941131449,0,0,0,0,0,"good"
